Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python,R,spark,aws,excel,job_simp,seniority,desc_len,num_comp
Machine Learning Engineer,$121K-$169K (Glassdoor est.),"Kodiak Robotics is not just a software company, we are developing autonomous technology for long-haul trucking. Our team is highly experienced and comes from the leading technology companies in the space.

We are looking for a highly skilled machine learning engineer to join us and solve real-world robotics problems.
In this role, you will:
Be responsible for designing machine learning algorithms and implementing them in robust, efficient, and well-tested C++ and/or Python code.
Lead the development of deep neural networks to solve real-world robotics challenges such as lane detection, object detection and classification, sensor fusion, tracking, prediction, anomaly detection, and planning.
Work with camera, laser, radar, and ultrasound data and curate datasets for machine learning.
Setup automated training pipelines and develop data analytics tools to incrementally improve our performance on a growing dataset.
Collaborate closely with other experts on the team, including the planning and systems engineering team.
Qualifications:
Strong technical background. BS, MS or PhD with academic or industry experience in designing and implementing deep neural networks. You are a skilled software engineer with experience in C++ and strong problem-solving skills. You are passionate about solving real-world robotics problems, and you have ideally worked on autonomous robots before. You ideally also have a strong knowledge of data processing pipelines for training ML models in the cloud.
A team player. You take ownership and work with the team to deliver exceptional results. You are interested in the performance of the entire system across engineering disciplines.
Ability to build and iterate quickly. You enjoy working fast and smart, and you are comfortable in the earlier stages of developing an algorithm from scratch.
Hands on. You are not only passionate about ML research but also experienced working with production machine learning pipelines, from dataset collection and labeling to training and validation.
Great communicator. You have experience writing clear, concise, and detailed documentation. You can enable your colleagues to leverage the ML models resulting from your work in their algorithms and systems.
Benefits:
A place with big goals that we trust we can achieve.
A fast paced environment where we work with talented, committed and supportive teammates.
Equity and competitive pay. Every employee is a stakeholder in Kodiak’s success.
Excellent medical, dental and vision benefits.
Flexible PTO and generous parental leave policies.
A beautiful facility in Mountain View.
We love our dogs, so we are a dog friendly office!
At Kodiak, we strive to build a diverse community working towards our common company goals in a safe and collaborative environment where harassment of any kind is strictly prohibited. Kodiak is committed to equal opportunity employment regardless of race, ethnicity, religion, gender identity, sexual orientation, age, disability, or veteran status, or any other basis protected by applicable law.",4.9,"Kodiak Robotics
4.9","Mountain View, CA","Mountain View, CA",51 to 200 employees,2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,121.0,169.0,145.0,Kodiak Robotics,CA,1,2,1,0,0,0,1,mle,na,3058,0
Data Scientist,$79K-$106K (Glassdoor est.),"What’s significantly better than working on a typical data science team? How about working on a data science team in which you’re directly making an impact in the revolutionary field of artificial intelligence even as an entry level team member? (well, statistically significant that is). Pardon the pun, but at Spectrum we’re certain that our team is pumped up to work not only with like-minded data-savvy and fun loving professionals, but also to work with cutting edge new tools like our predictive, artificially intelligent proprietary software. So, if your confident that you want to make a direct impact in your next job today, then please keep on reading.

Responsibilities

Beyond working with state of the art technology you will have many different fantastic projects to work on as a Data Scientist at Spectrum. Here are just a few different responsibilities you can expect off the bat:
Work with IT teams, management and/or data scientists to determine organizational goals
Mine data from primary and secondary sources
Clean and prune data to discard irrelevant information
Analyze and interpret results using standard statistical tools and techniques
Pinpoint trends, correlations and patterns in complicated data sets
Identify new opportunities for process improvement
Provide concise data reports and clear data visualizations for management
Some Characteristics That Define You

We understand that as a Data Scientist for Spectrum, you have many different professional goals and personal interests. As such here are just a few different things that typically define our team members on the Data Science team:
Analytical. In order to solve problems and build innovative new digital marketing campaigns, it is essential that you know how to take an idea and analyze it from all of its angles.
Patient. As a data scientist, you know that you work with extremely large data sets on a daily basis. As such we are looking for someone who is not only meticulous, but patient enough to sit and sift through that data in a thorough way.
Creative. Beyond just analyzing data sets, you are an explorer and a puzzle solver. Pulling insights out of your data and understanding how those insights can better shape our tools is something that you live to do.
Student. More so than most industries, the field of data science is always changing and evolving. As such, you are always looking to learn new things and gain new skills.
Business-Savvy. Beyond the wicked data science skills you bring to the table, we also want you to consider the business implications of our data tools. From the ways our team will use them to how our customers will use them, we always want you to keep the user and the business application in mind.
Required Skills and Experience

On top of the many intangible skills you bring to the table, there are many skills that can help improve the efficiency and success of your work at Spectrum. Here are a few of those required skills and experience that you will come in with as a Data Scientist on our team:
A bachelor’s degree/pursuing a bachelor's degree in computer science, mathematics, statistics, information systems, or a related field
Experience with statistical modeling
Fundamental knowledge of R and/or SAS languages
Experience with SQL databases and database querying languages
Experience with data mining and data cleaning
Experience with data visualization and reporting techniques
Written and verbal expression
Benefits

As a Data Scientist at Spectrum there are a ton of fantastic perks and benefits that come along with your work. Here are just a few of the benefits you can expect when joining the Spectrum family:
Comprehensive medical & dental insurance
Retirement planning & company matching
Generous PTO, including sick days & holidays
A state-of-the-art office environment
Nintendo Switch in-office gaming such as FIFA, Arms, Mario Kart, and Rocket League
Year-round gym memberships
Paid continuing education
Casual dress code
Flexible scheduling
Free-Lunch-Friday
Company sponsored parties and group activities outside of the office",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,0,0,79.0,106.0,92.5,Spectrum Communications and Consulting,IL,1,28,0,0,0,0,0,data scientist,na,4082,0
principal machine learning engineer,$112K-$190K (Glassdoor est.),"Job Summary and Mission
This position contributes to Starbucks success by driving advancements to Enterprise Data & Analytics Platform and will support the definition, build out, evangelism and deployment of foundational AI capabilities that are critical to democratizing Machine Learning and AI driven applications across the organization.
Models and acts in accordance with Starbucks guiding principles.

Summary of Key Responsibilities

Responsibilities and essential job functions include but are not limited to the following:
Forge partnerships with the Analytics teams across Starbucks as well as Technology teams to clearly understand business domains (domain proficiency) as well as demonstrate technical depth to gain trust and partnership
Perform Industry Research, develop working prototypes and prove the concepts for key trends in development, deployment and operating Machine Learning / Deep Learning models in production
Translate strategic analytics requirements into Analytics tools and infrastructure
Engineering production grade platform solutions that are secure, scalable and supportable.
Evangelize platform capabilties through strategic partnership, rapid prototyping of usecases.
Identify, document and promote best practices across the organization

Summary of Experience:
Software Engineering:
•Experience in one of the public cloud platforms such as Azure/AWS/GCP and designing Cloud Native solutions.
•Demonstrated experience in distributed computing systems such as Apache Spark or similar (1 years)
•Demonstrated experience and expertise in programming using languages such as Python or Scala or equivalent. (5 years)
•Demonstrated experience in using state of the art DevOps techniques in the context of Machine Learning powered applications.(1 year)
•Experience in Containerization of applications, Kubernetes and Microservices .(1 year)
•Exposure to Site Reliability Engineering best practices(1 year)
•Demonstrated experience in building, deploying and operating ATLEAST ONE ML powered application at Scale in production.(1 year)

Applied Machine Learning:
•Appreciation of Math concepts such as linear algebra, Bayesian statistics, group theory desirable.
•Experience or exposure to application of Machine Learning algorithms ( classification, regression, or ranking problems) to real world applications.
•Experience or exposure to application of deep learning/neural networks and machine learning frameworks like Tensorflow or Keras or equivalent to real world problems.

General:
•Proven track record of being part of successful agile teams, collaborating with Engineers, Data Engineers, Data Scientists and business stake holders and delivering engineering outcome.
•Overall experience (5 years)
•Experience working in Retail domain desirable.

Basic Qualifications:
•MS / BS with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline .
Required Knowledge, Skills, and Abilities
•Technical proficiency to deal with complex problems that have now evolved from ideation and consulting
•Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
•Security proficiency to design and implement complex compliance controls
•Ability to take Input from industry trends to help shape platform needs by demonstrating application and platform expertise
•Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
•Technical skills
Practical working skills in leading Machine Learning / Deep Learning Frameworks like TensorFlow, Keras
Practical skills in querying and processing Big Data using Apache Spark, SQL.
Expert Programming skills in Python or Scale or equivalent
Expert DevOps skills using platform like Jenkins, Azure Dev Ops or equivalent
Expert skills in Kubernetes , Containers and Micro Services deployment

Starbucks and its brands are an equal opportunity employer of all qualified individuals.

We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA , veterans and persons with disabilities are encouraged to apply.

Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at 206-318-0660 or via email at applicantaccommodation@starbucks.com",3.8,"Starbucks
3.8","Seattle, WA","Seattle, WA",10000+ employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD),"Dunkin' Brands, McDonald's",0,0,112.0,190.0,151.0,Starbucks,WA,1,49,1,0,1,1,0,mle,senior,4873,2
IT Data Analyst,$47K-$61K (Glassdoor est.),"Job Description:

We are seeking to hire an experienced Data Intelligence and Analytics professional with a focus on developing operational reports, executive reporting, advanced analytics, and strategic insights. This position encompasses identification for new data sources, creating and maintaining data models, assessing raw and transformed data, and working with business analysts and technical team members to assist with data analysis and analytic initiatives.

Key objectives including expanding data models, enhancing data reporting and analytics, working on strategic business initiatives, engaging with regulatory actions and oversight, and maintaining an understanding and adherence to data governance standards.
Required Experience:

Job Responsibilities:

* Working with Data Engineers to transform raw and staged data into actionable and meaningful analytic solutions.
Working with data visualization and analysis tools to build, publish and maintain data models leveraged in reporting and by business analysis
Working with the broader analyst community to gather, scope and prioritize analytic opportunities
Working in a cross-functional team to define and clarify analytic requirements, develop implementation plans, and ensure data quality standards
Participating as a senior member in a Data Analyst Community of Practice and contributing to the establishment of a Data Analyst Center of Excellence
Working as part of a senior IT team to expand data sets, transform data, publish and present business intelligence, while following Agile Development methodology
Establishing and maintaining strong technology partnerships and cross-functional relationships to coordinate priorities and company-wide Business Intelligence objectives
Documenting data requirements and evaluating complex business problems to present actionable analytic recommendations
Acting as a liaison between IT, Data Governance and Assurance and the analyst community
Establishing and maintaining and strong understanding of the Broker-Dealer / Wealth Management Industry
Coordinate with data service providers and platforms to assist data engineers in the enhancement of data processing and data usage
Performing ad-hoc reporting and analyses as needed

Qualifications:

* Bachelor’s Degree or equivalent in Statistics, Math, Computer Science, Economics, or Accounting
Understanding of Data Governance and Data Assurance; ability to follow firm standards and policies
Excellent listener, communicator, collaborator and presenter
Ability to contribute across roles and technologies when necessary
Prior experience with PowerBI and/or Tableau
Advanced working knowledge of large data manipulation and data mining within an Microsoft SQL environment
Exceptional problem solving, technical and data analysis skills
Know or establish and in-depth understanding of a diversified financial services company and willingness to attend training and learn about the industry
Ability to work in a team environment that promotes collaboration, best practices, and follows Agile development
Experience interpreting, modifying, and creating detailed requirements for new integration, analysis, and business workflows.
Experience with Data Warehousing and Data Lake concepts
Experience creating data models and mapping business processes to technology solutions
Experience working with Data Engineers to define, test and deploy robust data pipelines
Keyword: IT Data Analyst
From: D.A. Davidson Companies
Apply now",3.9,"D.A. Davidson Companies
3.9","Great Falls, MT","Great Falls, MT",1001 to 5000 employees,1935,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Baird, Stifel Financial",0,0,47.0,61.0,54.0,D.A. Davidson Companies,MT,1,85,0,0,0,0,1,analyst,na,3487,2
Data Engineer,$55K-$67K (Glassdoor est.),"Spun out of MIT in 2014, Zylotech is a disruptive AI-powered customer data analytics company located in Central Square. We are ‘ZyloChamps’, big thinkers with a sense of fun who love working in an open environment full of start-up perks.

Why you'll love working here:

Zylotech is a fast-growing company that rewards autonomy and creativity. Our team works hard, is fast and collaborative, and we encourage personal growth. There are many opportunities to work with other departments where you can interact with some incredibly talented people.

What you’ll do:
Coordinate with Product management and technical stakeholders to continue building our SaaS product data + decision pipe
Perform architecture design, data modeling, and implementation of Big Data platform or Data pipe
Architect and develop big data solutions on either AWS or GCP cloud platforms
Set up and manage big data infrastructure to ingest and process data from multiple sources for Enterprise customer deployment
Create scalable & robust data pipelines to transfer data from source to destination data stores
Player and coach across a team of big data engineers, ML engineers, data scientist towards agile shipping of features and milestone
What we seek:
Prior experience in building, developing, architect scalable big data applications from grounds up preferably in product startups.
2+ years of experience in Data Engineering
Experience working with Big Data stack, Big Map Reduce, Hive, Kafka, Impala, Hadoop, Big Query, Spark SQL, Spark Streaming, HBase etc
Experience in Databases (NoSQL and SQL)
Experience in creating Data-warehouses and scheduling automated ETL jobs
Experience in Docker and Kubernetes
Good Communication Skill, both verbal & written. Confident in communicating with business & technical stakeholders alike.
Bachelor’s or Master’s degree in Computer Science or a related field of study.
Important Personal Attributes:
You are curious about technology & science.
Team matters.
Challenging yourself is an intrinsic part of who you are.
Sharing and debating ideas to get to the right answer is important to you.
You seek to act and don’t wait to be told.
You like to teach those around you.
You are serious about your work but also believe that laughter and levity are important.
You work hard and you also have passions outside of work that enrich your life.
Winning is important to you, but so is how you win.
You take pride & ownership in building a Product and company who is disrupting an industry.
About Zylotech:

Zylotech is a self-learning customer intelligence platform that helps marketers create complete customer profiles for targeting revenue opportunities more effectively. Powered by AutoML, the platform continuously unifies and enriches internal and external data, and performs ongoing micro-segmentation, pattern discovery, and recommendations, all while integrating with a variety of marketing clouds for on-demand accessibility. Zylotech’s cross-industry clients have reported up to a 6x increase in customer lift. For more information, visit Zylotech.com.

Zylotech is an equal employment opportunity employer and does not discriminate against any applicant because of race, creed, color, age, national origin, ancestry, religion, gender, sexual orientation, disability, genetic information, veteran status, military status, application for military service or any other class protected by state or federal law.

To all recruitment agencies: Zylotech does not accept agency resumes. Please do not forward resumes to our jobs alias, Zylotech employees or any other company location. Zylotech is not responsible for any fees related to unsolicited resumes. Unsolicited resumes received will be considered our property and will be processed accordingly.

Qualified Applicants must be legally authorized for employment in the United States. Qualified Applicants will not require employer-sponsored work authorization now or in the future for employment in the United States.",3.7,"Zylotech
3.7","Cambridge, MA","Cambridge, MA",1 to 50 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,55.0,67.0,61.0,Zylotech,MA,1,6,0,0,1,1,0,data engineer,na,3987,0
Senior Data Scientist,$82K-$135K (Glassdoor est.),"The College Board, the national educational organization, is conducting a search for a Senior Data Scientists for our Technology Department. This position is based in our Reston, VA or remote work.

About the College Board


We are a mission-focused, not-for-profit membership organization that believes in promoting innovation, equity, and excellence for generations of students. Our members include more than 6,000 of the world's leading colleges, schools, and other educational organizations. We have over 1,900 employees in 13 offices across the U.S. and Puerto Rico.

We are advocates for children and parents; we empower teachers and educators, and we are a strong presence in thousands of schools and communities across the country through programs and services - the SAT, Advanced Placement (AP®) and Pre-AP are just a few. Our work falls broadly into four categories: College Readiness, College Connection & Success, Student Opportunities, and Advocacy.

About the role


In this role, you'll develop the next generation of assessments using leading technologies. You'll work with innovative agile teams' agile teams using your data science and machine learning skills

What you'll do
Problem-solve with product and business teams, advise executive team how to leverage data science
Use various modeling and machine learning techniques to creatively solve business problems
Work with a large & growing educational datasets using descriptive statistics and data visualization tools
Create insights from existing data and drive the collection of new data through instrumentation
Communicate methodology and results of advanced analyses using accessible language and intuitive data visualizations
Create reproducible, documented analyses and models that lend themselves to automation
Perform other duties or tasks as assigned or required
About you
Master's in a quantitative discipline or computer science, or a Bachelor's and 5-7 years related experience
Strong experience programming in R and/or Python.
Experience with Machine Vision and TensorFlow
Strong foundation in statistical analysis and machine learning techniques
Facility with relational, columnar, and NoSQL database systems
Experience coping nimbly with imperfect data
More about you
Proven experience in developing machine learning and deep learning systems to solve real world problems
Passionate about solving difficult problems creatively
An excellent communicator and listener who helps others understand both problems and solutions
Someone who knows how to tell a story with their data
A strong team player who enjoys helping their teammates succeed
Benefits


We offer an outstanding benefits package that includes up to four weeks of paid time off each year, comprehensive health insurance, a generous retirement savings plan, tuition reimbursement, ongoing professional development and training, and more.

Mission


Our mission is to clear a path for all students to own their future.

EEOC statement


College Board is proud to be an equal opportunity employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",3.7,"The College Board
3.7","Reston, VA","New York, NY",1001 to 5000 employees,1900,Nonprofit Organization,K-12 Education,Education,$500 million to $1 billion (USD),-1,0,0,82.0,135.0,108.5,The College Board,VA,0,120,1,0,0,0,1,data scientist,senior,3262,0
Data Engineer,$90K-$112K (Glassdoor est.),"Sonos has mountains of data, but that data is only useful if it is collected, stored and presented accurately. As a Data Engineer, you will be responsible for creating custom data sets, discovering data anomalies, generating test data, and implementing data quality improvements while participating in an Agile environment. This is an exciting, high visibility position in a rapidly expanding team at the forefront of a shift to a data-driven business.Data engineers work on a cross-functional team as equal partners with our PMs, Data Scientists and Data Platform Engineers. The whole team is responsible for designing, developing, testing, delivering, and supporting our IoT data systems. In this role, you will:
Building large scale batch or stream-processing systems, using solutions such as Apache Spark and AWS Kinesis
Work with PMs and data scientists to integrate data from multiple data sources
Work with different data storage techniques such as NoSQL databases, HBase, Cassandra, and Snowflake
Define, document, and evangelize data instrumentation best practices. Support software team members on designing data instrumentation for new products.* 2+ yrs experience writing software code
BS/BA in Computer Science, Software Engineering, Data Engineering, Data Science or equivalent
Proficiency in Python or Java
Knowledge of Spark, Github, SQL
Understanding of data structures and big data.
Working knowledge of AWS cloud architecture and associated technologies
Passion and ability for solving intractable problems. Superior critical thinking skills.",4.2,"Sonos
4.2","Seattle, WA","Santa Barbara, CA",1001 to 5000 employees,2002,Company - Public,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),Bose,0,0,90.0,112.0,101.0,Sonos,WA,0,18,1,0,1,1,0,data engineer,na,1561,1
"Data Scientist, Rice University",$66K-$103K (Glassdoor est.),"Trilogy Education partners with universities to offer programs in Web Development, Data Analytics, UX/UI Design, Cybersecurity, and FinTech. Our platform combines a market-driven curriculum, robust career services, and a multinational community of universities, instructors, and employers to prepare adult learners for careers in the digital economy.

Our programs have been in existence since 2015, and since then, we've launched an additional 300 classes across the nation. We have hired more than 1,900 Instructors and Teaching Assistants to support our students.

The Job:

We are looking for an experienced Financial Engineer, Python or Machine Learning Engineer with Finance experience, or similar background to teach our part time FinTech class at Rice University. Our instructors are an essential piece to our students experience with us. You must bring a positive attitude and be able to infuse empathy, support, encouragement and fun into the classroom. As an instructor you will need to have the ability to deliver our lesson plans that are being taught across the country; while at the same time, sharing your own professional experiences and industry insight with the students.

Our Financial Technology Program:

There is a parallel economy forming that is upending the financial system. From giant international firms to tiny startups, financial technology is starting to allow a whole new set of players to access financial data, and enabling a whole new generation of financial products and services.

Why teach with us?

Are you passionate about education and making an impact? Do you love empowering others to find life-changing opportunities. We'd love to hear from you! If you bring knowledge, strong communication, and a positive energy to the classroom, you're going to help our students along their transformative path to a successful and rewarding career. Prior teaching experience isn't a prerequisite for success as an Instructor or Teaching Assistant within Trilogy.

We'll provide the guidance, training, lesson plans, and tools to support you on your journey of impacting lives in the classroom.

What You Will Do:
Lead lectures and share your own personal experiences as an industry professional
Facilitate a hands on lab environment for students to gain real world knowledge
Coach students through coding activities and in-class projects
Distribute Class Materials and Recorded Lectures to set up students for success
Ensure a positive learning environment for students by infusing empathy and support into all that you do
Be a classroom manager and confirm students are engaged and learning at every turn
Make sure students are receiving timely feedback and grades on their assignments from you and your teaching assistants.
Experience, or willingness to learn, the following Technologies is required:
Python 3 and Python Libraries such as Pandas, Matplotlib, NumPy, and more
SQL and NoSQL Databases
Deploying Machine Learning Models, Including using SKlearn, Tensorflow, or Statsmodels
What makes you a great fit (Requirements):
Bachelor's Degree
Minimum of 4-5 years of work experience
A positive attitude
Ability to deliver our lesson plans that are taught in classrooms across the country to the student body
Openness to share your own professional experiences and industry insight with the students
Ability to support our students individually as they go through an emotional roller coaster
Be able to infuse empathy, support, encouragement, and fun into the student experience
Logistics:
24-week program
Mon/Wed/Sat OR Tue/Thu/Sat Schedule
Weekday Classes: 5:45pm - 10pm (includes office hours and break)
Saturday Classes: 9:30am - 2:30pm (includes office hours and lunch break)",4.3,"Trilogy Ed
4.3","Houston, TX","New York, NY",1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Kaplan University, Ironhack",0,0,66.0,103.0,84.5,Trilogy Ed,TX,0,5,1,0,0,0,0,data scientist,na,3717,3
Data Scientist,$99K-$118K (Glassdoor est.),"Pinnacol Assurance does just one thing, and does it better than anyone: provide caring workers' compensation protection to Colorado employers and employees. And while we may be a little biased, we believe that our work shapes communities and changes lives.

We have big hearts and love big ideas. We celebrate continuous improvement, innovation, compassion, teamwork, integrity and excellence. Speaking of celebrating, we love having fun at work. We host holiday parties, on-site painting classes, and employees love our yoga classes and book club, too.

What you'll do:

You will work with medical, claims, and policy related data that comes in a variety of formats – structured and unstructured - to generate insights and embed artificial intelligence into applications. As a Data Scientist, you will work with internal teams to:
Extract and clean data from various sources
apply tools and methods to transform or enrich data for an array of possible uses
build creative solutions for a variety of problems of interest to our company
Ability to thrive in a fast-paced environment and enjoy working closely with a core data science team
Build collaborative working relationships with both technical and business team members from a variety of teams and backgrounds
Share knowledge and communicate complex concepts effectively to both technical and non-technical team members and leaders
Enthusiastically seek out opportunities to grow both your domain and technical knowledge
Devise creative approaches for leveraging incomplete or noisy data to build intelligent and/or automated solutions for decision-making and analysis
Create effective technical documentation, charts, graphs, and analyses to support operationalizing and maintenance of solutions and products
Support team members in the maintenance of systems for production environments and resolution of internal and external customer issues
What you'll bring to the table:

Bachelor's degree in Data Science, Machine Learning, Computer Science, or other quantitative field. Master's degree preferred. Relevant work experience (similar kind of work at a similar level of work) may be substituted for a Bachelor's degree. Completion of a degree is encouraged and supported.
Strong programming skills. Preferred languages: Python, SQL,Bash
Experience with common data science libraries (e.g. spaCy, Pandas, NumPy, Scikit-learn, XGBoost, Tensorflow, PyTorch, Keras)
Experience in extracting, cleaning, preparing, and modeling data; command-line scripting, data structures, and algorithms
Two or more years of experience working with insurance data (e.g. medical records, insurance claims, policy data) preferred
Familiar with fundamental concepts, practices, and principles of software and API development, version control, containers, and scalable infrastructure/platforms
Proficiency using cloud environments; preferred experience in Google Cloud Platform
We can't do our work without people like you.
Our employees are extraordinary and committed to making a difference. Here's some of the ways we show our appreciation.
Our benefits go beyond the basics. You'll get to choose from diverse benefit offerings for medical, dental and vision.
We care about each other. We enjoy a positive, collaborative work environment. We are hard workers and high performers.
Take a day (or 20!) off. Enjoy 20 paid days off your first full year plus eight paid holidays annually.
Take care of yourself. Sign up for unique wellness programs, including on-site, company-paid fitness facilities and classes
Get your learning on. We promote a learning culture to help you master your current job and cultivate the skills of the future through a variety of on-site, online, and off-site professional development opportunities.
Give back and get paid. Through our employee volunteer program, Pinnacol in Action, employees receive paid time off to volunteer with Colorado nonprofits.
Share in our success. You'll have the opportunity to earn a quarterly incentive, up to 20 percent of your annual base salary, when your team exceeds their goals and objectives.
When we find the right person, we try to put our best foot forward with an offer that excites you. We consider what you'd like to be paid, what similar jobs pay in the Denver area and make sure there's equal pay for equal work among those you'll be working with.

Want to love your work? Apply today!",4.0,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,99.0,118.0,108.5,Pinnacol Assurance,CO,1,105,1,0,0,0,1,data scientist,na,4397,0
Data Analyst,$43K-$64K (Glassdoor est.),"Wednesday, March 11, 2020


Community Action Partnership of San Luis Obispo County,Inc.

Helping People. Changing Lives.

CAPSLO Mission, Vision and Core Values

Position Summary:

Assists in management, quality assurance, and dissemination of data. Provides support and training to colleagues in the areas of data collection and use of the client database. Supports CAPSLO’s mission by assisting in the development of sound data, enabling program management to understand outcomes, trends, and its client base.

Essential Duties:

Assists in coordinating the utilization of client database.

2. Ensures confidentiality and security of data.

3. Conducts system audits to ensure completeness and accuracy of data. Follow-ups with responsible program staff on missing or incorrect information to ensure integrity of data.

4. Trains staff individually or as a group on the client database. Provides training and technical assistance to service area staff in policies and procedures for utilizing the system.

5. Works with program staff and management to determine ways to make data collection and entry more efficient. Assists in the development, expansion, and maintenance of customized setups and configurations within database to ensure efficiency.

6. Completes data entry for additional programs that may need assistance.

7. Maintains a working knowledge of agency programs, organizational structure, and policies and procedures.

8. Provides Planning department with necessary statistics required by funding entities.

9. Runs routine and customized reports.

10. Performs other duties as needed.

Other Requirements:

1. Must be detail-oriented, able to perform mathematical computations, and work accurately with numbers.

2. Must be able to work with a minimum of supervision.

3. Must maintain confidentiality at all times.

4. Must be able to maintain accurate records.

5. Must have good written and verbal communication skills. Must be able to prepare concise and accurate oral and written reports.

6. Must be able to work under pressure and meet deadlines.

7. Must have dependable, insured transportation, and a valid California Driver License (mileage to be reimbursed) and acceptable driving record. A DMV printout and proof of insurance will be required.

8. Must be available to travel throughout the year in and out of the state (up to 25%/year), for conferences, meetings, training workshops, etc.

9. Must be able to relate well to all people of the community regardless of color, national origin, religion, sex, pregnancy, age, marital status, veteran status, sexual orientation, gender identity, disability or socio-economic level.

10. Must use reasonable precautions in the performance of one’s duties and adhere to all applicable safety rules and practices; and act in such a manner as to assure at all times maximum safety to oneself, fellow employees, clients, and children.

11. Networks within and/or outside the agency to increase knowledge of resources and services that benefit clients; develop effective relationships; further agency and Community goals; and/or raise the profile of CAPSLO and its programs.

12. Employment is contingent upon approval of the Head Start Policy Council.

13. Employment is contingent upon meeting all job requirements and background requirements: criminal history check, education verification, acknowledgment of child abuse reporting responsibility, Megan’s Law clearance, criminal record Federal Statement, etc. A criminal history clearance is required within seven days of completing the Live Scan. Failure to provide required documents in the allotted time may result in an offer being rescinded.

14. Must be dedicated to the goals and philosophy of the division’s child development programs and CAPSLO.

15. Must provide an acceptable health screening, TB clearance (skin test or chest X-ray), and documentation of any required immunity or immunizations prior to beginning employment.

Minimum Educational and Experience Requirements:

Must have two years of related experience, or an equivalent combination of related education and experience. Must have strong computer skills, with knowledge of MS Office, Word, Excel, Publisher, data management software, and web-based applications. Must be able to type 45 words per minute

Physical and Environmental Requirements:

Position requires intermittent standing, sitting, walking, twisting and bending. Must be able to lift up to 30 pounds waist high. Simple grasping and hand manipulation required as well as reaching above and below shoulder level. Requires working indoors in temperature-controlled environment with some exposure to copier and printer chemicals/fumes.
Employee Benefits:
Medical, Dental, Vision, Life Insurance, Flexible Spending Plan, Retirement Savings Plan, and Employee Assistance Plan, plus additional benefits at a reduced rate.
12 Paid Holidays plus one paid Personal Holiday.
Vacation and Sick time accruals.

For questions regarding the application process or open positions, contact the Recruiting Department at 805-544-4355 or email recruitment@capslo.org.

EOE/ V/ ADA/ Drug Free Workplace/ Asset Infused Organization
We are an Equal Opportunity Employer and do not discriminate against applicants due to race, ethnicity, gender, religion, national origin, veteran status, or on the basis of disability.

Other details
Pay Type
Hourly
Min Hiring Rate
$18.35
Max Hiring Rate
$22.93",2.8,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA","San Luis Obispo, CA",501 to 1000 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,0,0,43.0,64.0,53.5,Community Action Partnership of San Luis Obispo,CA,0,-1,0,0,0,0,1,analyst,na,5435,0
